IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0057_3,3,2,-154.82262948,-154.58662693,-154.58053749
0057_4,3,2,-154.82677634,-154.60700227,-154.60502457
0057_5,2,3,-154.81953815,-154.65926044,-154.63106209
0057_6,3,2,-154.75223873,-154.63353015,-154.6289131
0057_7,3,2,-154.7395504,-154.63103659,-154.62842923
0057_8,2,1,-154.66574166,-154.66491512,-154.50744086
0057_9,2,3,-154.80801059,-154.62846911,-154.62225572
0058_2,2,1,-154.64586337,-154.63608773,-154.4656669
0058_3,2,1,-154.64727571,-154.64695879,-154.48700802
0058_4,2,1,-154.67139128,-154.66418629,-154.48498656
0058_5,2,1,-154.63555634,-154.63463839,-154.44780471
0059_10,2,1,-154.6111834,-154.6085848,-154.46566466
0059_11,3,2,-154.71614711,-154.60657881,-154.60604864
0059_12,2,1,-154.63363179,-154.62915444,-154.4892918
0059_13,2,1,-154.67461965,-154.67033841,-154.53034274
0059_14,2,1,-154.60928602,-154.59817098,-154.50952918
0059_15,2,1,-154.64316948,-154.64090741,-154.45383346
