IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0148_12,2,1,-230.37186761,-230.36446412,-230.27314044,Type_1
0148_13,2,1,-230.3466651,-230.34505665,-230.23315616,Type_1
0148_14,2,1,-230.34391529,-230.34360408,-230.22281931,Type_1
0148_15,2,1,-230.35205522,-230.34325008,-230.24847901,Type_3
0148_16,2,1,-230.35171906,-230.34139085,-230.24597599,Type_3
0148_17,2,1,-230.34658586,-230.34563451,-230.21080716,Type_1
0148_3,2,1,-230.37246804,-230.35765504,-230.2700767,Type_3
0148_5,2,1,-230.35551582,-230.35163479,-230.24081942,Type_3
0148_7,2,1,-230.36316672,-230.34668078,-230.24424496,Type_3
0149_11,2,1,-230.35425724,-230.3515418,-230.26236096,Type_3
0149_12,2,1,-230.3307689,-230.33041833,-230.23013581,Type_3
0149_13,2,1,-230.36619877,-230.35495768,-230.25743059,Type_1
0149_14,2,1,-230.32092803,-230.31768448,-230.2135947,Type_1
0149_15,2,1,-230.3497535,-230.34778937,-230.21941363,Type_2
0149_16,2,1,-230.33767305,-230.33265574,-230.21940776,Type_2
0149_3,2,1,-230.33830708,-230.33095927,-230.20838381,Type_1
0149_6,2,1,-230.32636152,-230.31454731,-230.23448452,Type_2
0149_9,2,1,-230.35089572,-230.34947043,-230.24166761,Type_2
0150_10,2,1,-230.36524291,-230.35462188,-230.22907231,Type_1
0150_11,2,1,-230.36986409,-230.36193594,-230.24198759,Type_1
0150_12,2,1,-230.34097152,-230.33362736,-230.20197374,Type_1
